OBJECTID,Identificador unico del sector catastral,Tipo de sector catastral,Nombre del sector catastral,coord_x,coord_y
2429,005105,0,CAMPIN OCCIDENTAL,"-74,07971961850001","4,6488620191526255"
2430,005106,0,NICOLAS DE FEDERMAN,"-74,08244891750002","4,647458999652604"
2431,004534,0,ROMA,"-74,1735367155","4,610618902151403"
2432,002601,0,ARRAYANES I,"-74,100451669","4,5425207691491725"
2433,001422,0,DIANA TURBAY ARRAYANES,"-74,10719051500001","4,544642137149263"
2434,001313,0,BELLAVISTA SUR,"-74,08851888250001","4,550669752149423"
2435,001301,0,GRANADA SUR,"-74,08970698500002","4,569562130650066"
2437,006217,0,CIUDAD SALITRE SUR-ORIENTAL,"-74,10403108150001","4,642493350652458"
2438,002608,0,EL BOSQUE CENTRAL I,"-74,09891632399999","4,505288639647978"
2439,202204,2,LA ESPERANZA SUR I,"-74,096576884","4,507554476648037"
2440,002605,0,BOLONIA,"-74,10087936149998","4,509274235148096"
2441,002609,0,EL BOSQUE,"-74,10150529450001","4,505572722647986"
2442,002607,0,LA ESPERANZA SUR,"-74,1017106525","4,507265822648052"
2443,102406,1,EL BOSQUE CENTRAL,"-74,0971709765","4,5047914086479395"
2444,108103,1,BARRANCAS ORIENTAL RURAL,"-74,01448647750001","4,7346067361554285"
2446,006525,0,EL CHANCO I,"-74,16334575599998","4,6832496916537725"
2447,105403,1,EL CHANCO RURAL III,"-74,17201545199998","4,6792829136536085"
