Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
10/09/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,13:38:00,VEREDA TIBAQUE E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,27.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000.0,1
11/09/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,3:00:00,EL MUELLE E-10,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,26.0,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000.0,1
11/09/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,14:20:00,RESTREPO E-15,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,61.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,11001000.0,1
11/09/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,10:11:00,SOTAVENTO E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,15.0,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000.0,1
12/09/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,0:05:00,LAS MARGARITAS E-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,11001000.0,1
01/10/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,19:30:00,OLAYA E-18,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30.0,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,11001000.0,1
01/10/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,15:30:00,ACIP E-8,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,66.0,MASCULINO,CASADO,COLOMBIA,PENSIONADO,-,SECUNDARIA,11001000.0,1
01/10/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,18:13:00,CENTENARIO E-9,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,35.0,MASCULINO,SOLTERO,COLOMBIA,DELINCUENCIA,-,SECUNDARIA,11001000.0,1
01/10/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,18:13:00,CENTENARIO E-9,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,41.0,MASCULINO,SOLTERO,COLOMBIA,DELINCUENCIA,-,SUPERIOR,11001000.0,1
01/10/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,3:57:00,MARIA PAZ E-8,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22.0,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,11001000.0,1
02/10/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,22:45:00,GRAN YOMASA E-5,URBANA,TIENDA,ARMA DE FUEGO,A PIE,A PIE,55.0,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,11001000.0,1
03/10/2018 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,0:11:00,MILLÁN LOS SAUCES E-19,URBANA,BOSQUES,ARMA DE FUEGO,A PIE,A PIE,21.0,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SUPERIOR,11001000.0,1
