llave-barrio,Fecha,coord_x,coord_y
MAGDALENA-13,128,-74.07080147600001,4.628286885151967
MAGDALENA-8,13,-74.15598768075,4.656985571652911
MANDALAY-8,177,-74.1438928035,4.62878307565199
MARANDU-10,52,-74.133490137,4.707180369154559
MARCO FIDSUAREZ-18,124,-74.12026242600001,4.567721008649992
MARGARITAS-7,73,-74.195296953,4.630626993152048
MARGARITAS-8,253,-74.17546922049999,4.631243943152061
MARIA CRISTINA-2,50,-74.05603174750001,4.644130226652473
MARIA PAZ-8,202,-74.157882102,4.636453814152266
MARIA-4,14,-74.08096849149999,4.575415324150258
MARICHUELA-5,47,-74.1179326685,4.509668071148102
MARLY-2,864,-74.06528053299999,4.635903674152214
MARRUECOS-18,55,-74.114106978,4.552780569149508
MARSELLA-8,250,-74.13060561650002,4.635554636152207
MEISSEN-19,102,-74.13557440300002,4.559251654649731
MERCED-12,70,-74.07351098450002,4.664910913153168
MERCED-3,90,-74.06552858250001,4.620954514151738
METROPOLIS-12,116,-74.08165241649999,4.680775765153683
MEXICO-19,19,-74.13612874200001,4.554482869149567
MINUTO DE DIOS-10,346,-74.0893463315,4.700248739654329
MIRADOR-19,10,-74.15802698850001,4.54992178364942
MOCHUELO-19,17,-74.13804714925,4.528269504148726
MODELIA-9,482,-74.12142055416668,4.668461006986617
MODELO-12,114,-74.08159068500001,4.6659287736531905
MODELO-4,33,-74.085582795,4.586153232650615
MOLINOS DSUR-18,225,-74.11841998850002,4.555946462649594
MOLINOS-18,44,-74.10977423700001,4.555546362649604
MONACO-11,32,-74.06274071050001,4.700823391654332
MONTEBLANCO-5,54,-74.119425923,4.505163186647968
MONTES-16,70,-74.11487736199999,4.610458473151385
MONTEVIDEO-9,124,-74.11721271050001,4.645287635652541
MORALBA-4,14,-74.07941375250002,4.543540824149204
MORAVIA-9,7,-74.155398437,4.678376878653593
MUELLE-10,90,-74.12650681300002,4.69959274315431
MUEQUETA-12,32,-74.0711012365,4.653077703152791
MURILLO TORO-18,40,-74.11774592199998,4.585364602150577
MUZU-16,143,-74.12066107375,4.597481459900988
MUZU-6,60,-74.1467392195,4.584018075150526
NACIONES UNIDAS-19,12,-74.148910062,4.541360371149146
NARANJOS-11,33,-74.08643516200001,4.726413196655175
NEVADO-5,6,-74.10854363175,4.524503067148591
NICODE FEDERMAN-13,199,-74.08244891750002,4.647458999652604
NIEVES-3,819,-74.06997098,4.60758148865132
NIZA-11,171,-74.076196622,4.710694253404641
NOGAL-2,146,-74.05243716300001,4.6628105241531035
NORMANDIA-10,694,-74.10743808425,4.670618918153329
NUEVA GLORIA-4,13,-74.08942079149998,4.540667869149125
NUEVA YORK-8,26,-74.1401843605,4.605535678651227
NUEVO PORTAL-5,29,-74.10147957024999,4.491821122897528
OLARTE-7,322,-74.1656106065,4.600606607151076
OLAYA-18,273,-74.1067493525,4.581569043150459
OLIVARES-5,5,-74.10573011999998,4.515234137648312
ONCE DE NOVIEMBRE-12,86,-74.070931064,4.668393031153278
